sample,in_db,out_db,gain_db
160,-10.000000,-6.234009,3.800555
161,-10.000000,-6.200252,3.834286
162,-10.000000,-6.166556,3.867955
163,-10.000000,-6.132922,3.901560
164,-10.000000,-6.099352,3.935099
165,-10.000000,-6.065851,3.968569
166,-10.000000,-6.032418,4.001969
167,-10.000000,-5.999057,4.035296
168,-10.000000,-5.965770,4.068548
169,-10.000000,-5.932560,4.101722
170,-10.000000,-5.899428,4.134817
171,-10.000000,-5.866375,4.167831
172,-10.000000,-5.833406,4.200762
173,-10.000000,-5.800521,4.233608
174,-10.000000,-5.767722,4.266367
175,-10.000000,-5.735011,4.299036
176,-10.000000,-5.702391,4.331616
177,-10.000000,-5.669861,4.364103
178,-10.000000,-5.637426,4.396496
179,-10.000000,-5.605085,4.428794
180,-10.000000,-5.572841,4.460995
181,-10.000000,-5.540695,4.493097
182,-10.000000,-5.508650,4.525100
183,-10.000000,-5.476705,4.557001
184,-10.000000,-5.444863,4.588799
185,-10.000000,-5.413125,4.620493
186,-10.000000,-5.381493,4.652081
187,-10.000000,-5.349967,4.683563
188,-10.000000,-5.318549,4.714938
189,-10.000000,-5.287239,4.746203
190,-10.000000,-5.256041,4.777358
191,-10.000000,-5.224953,4.808402
192,-10.000000,-5.193978,4.839334
193,-10.000000,-5.163117,4.870153
194,-10.000000,-5.132370,4.900857
195,-10.000000,-5.101739,4.931447
196,-10.000000,-5.071223,4.961920
197,-10.000000,-5.040826,4.992277
198,-10.000000,-5.010545,5.022517
199,-10.000000,-4.980384,5.052599
200,-10.000000,-4.950381,5.082561
201,-10.000000,-4.920500,5.112401
202,-10.000000,-4.890742,5.142119
203,-10.000000,-4.861107,5.171715
204,-10.000000,-4.831595,5.201188
205,-10.000000,-4.802209,5.230537
206,-10.000000,-4.772948,5.259761
207,-10.000000,-4.743811,5.288860
208,-10.000000,-4.714802,5.317834
209,-10.000000,-4.685919,5.346682
210,-10.000000,-4.657164,5.375404
211,-10.000000,-4.628535,5.403999
212,-10.000000,-4.600036,5.432466
213,-10.000000,-4.571665,5.460806
214,-10.000000,-4.543422,5.489018
215,-10.000000,-4.515310,5.517101
216,-10.000000,-4.487327,5.545056
217,-10.000000,-4.459473,5.572882
218,-10.000000,-4.431749,5.600579
219,-10.000000,-4.404157,5.628147
220,-10.000000,-4.376694,5.655585
221,-10.000000,-4.349362,5.682893
222,-10.000000,-4.322162,5.710071
223,-10.000000,-4.295092,5.737120
224,-10.000000,-4.268154,5.764038
225,-10.000000,-4.241347,5.790826
226,-10.000000,-4.214672,5.817483
227,-10.000000,-4.188127,5.844010
228,-10.000000,-4.161715,5.870407
229,-10.000000,-4.135434,5.896673
230,-10.000000,-4.109285,5.922809
231,-10.000000,-4.083268,5.948814
232,-10.000000,-4.057382,5.974689
233,-10.000000,-4.031627,6.000434
234,-10.000000,-4.006004,6.026048
235,-10.000000,-3.973953,6.051531
236,-10.000000,-3.948469,6.076883
237,-10.000000,-3.923117,6.102104
238,-10.000000,-3.897896,6.127194
239,-10.000000,-3.872805,6.152154
240,-10.000000,-3.847846,6.176984
241,-10.000000,-3.823016,6.201682
242,-10.000000,-3.798317,6.226251
243,-10.000000,-3.773749,6.250690
244,-10.000000,-3.749310,6.274999
245,-10.000000,-3.725001,6.299179
246,-10.000000,-3.700820,6.323230
247,-10.000000,-3.676771,6.347151
248,-10.000000,-3.652849,6.370943
249,-10.000000,-3.629057,6.394607
250,-10.000000,-3.605393,6.418143
251,-10.000000,-3.581857,6.441551
252,-10.000000,-3.558449,6.464831
253,-10.000000,-3.535170,6.487984
254,-10.000000,-3.512017,6.511009
255,-10.000000,-3.488991,6.533908
256,-10.000000,-3.466092,6.556680
257,-10.000000,-3.443320,6.579326
258,-10.000000,-3.420674,6.601847
259,-10.000000,-3.398153,6.624242
260,-10.000000,-3.375758,6.646512
261,-10.000000,-3.353489,6.668657
262,-10.000000,-3.331343,6.690678
263,-10.000000,-3.309323,6.712575
264,-10.000000,-3.287425,6.734348
265,-10.000000,-3.265653,6.755998
266,-10.000000,-3.244002,6.777525
267,-10.000000,-3.222476,6.798930
268,-10.000000,-3.201070,6.820213
269,-10.000000,-3.179787,6.841374
270,-10.000000,-3.158626,6.862414
271,-10.000000,-3.137587,6.883334
272,-10.000000,-3.116667,6.904133
273,-10.000000,-3.095868,6.924812
274,-10.000000,-3.075189,6.945372
275,-10.000000,-3.054629,6.965812
276,-10.000000,-3.034189,6.986135
277,-10.000000,-3.013866,7.006339
278,-10.000000,-2.993662,7.026425
279,-10.000000,-2.973576,7.046394
280,-10.000000,-2.953607,7.066247
281,-10.000000,-2.933755,7.085983
282,-10.000000,-2.914019,7.105603
283,-10.000000,-2.894399,7.125108
284,-10.000000,-2.874894,7.144498
285,-10.000000,-2.855504,7.163774
286,-10.000000,-2.836228,7.182936
287,-10.000000,-2.817067,7.201984
288,-10.000000,-2.798019,7.220919
289,-10.000000,-2.779084,7.239742
290,-10.000000,-2.760262,7.258453
291,-10.000000,-2.741550,7.277053
292,-10.000000,-2.722952,7.295541
293,-10.000000,-2.704463,7.313919
294,-10.000000,-2.686085,7.332187
295,-10.000000,-2.667818,7.350346
296,-10.000000,-2.649660,7.368395
297,-10.000000,-2.631611,7.386336
298,-10.000000,-2.613670,7.404169
299,-10.000000,-2.595838,7.421894
300,-10.000000,-2.578113,7.439513
301,-10.000000,-2.560495,7.457025
302,-10.000000,-2.542983,7.474430
303,-10.000000,-2.525578,7.491731
304,-10.000000,-2.508278,7.508926
305,-10.000000,-2.491084,7.526017
306,-10.000000,-2.473993,7.543004
307,-10.000000,-2.457006,7.559888
308,-10.000000,-2.440123,7.576668
309,-10.000000,-2.423343,7.593346
310,-10.000000,-2.406666,7.609923
311,-10.000000,-2.390090,7.626397
312,-10.000000,-2.373616,7.642771
313,-10.000000,-2.357243,7.659045
314,-10.000000,-2.340970,7.675218
315,-10.000000,-2.324797,7.691292
316,-10.000000,-2.308724,7.707268
317,-10.000000,-2.292750,7.723145
318,-10.000000,-2.276873,7.738924
319,-10.000000,-2.261095,7.754606
320,-10.000000,-2.245414,7.770190
321,-10.000000,-2.229830,7.785679
322,-10.000000,-2.214343,7.801072
323,-10.000000,-2.198950,7.816369
324,-10.000000,-2.183654,7.831572
325,-10.000000,-2.168452,7.846680
326,-10.000000,-2.153345,7.861655
327,-10.000000,-2.138371,7.876536
328,-10.000000,-2.123492,7.891322
329,-10.000000,-2.108706,7.906015
330,-10.000000,-2.094014,7.920614
331,-10.000000,-2.079416,7.935122
332,-10.000000,-2.064910,7.949537
333,-10.000000,-2.050496,7.963860
334,-10.000000,-2.036173,7.978093
335,-10.000000,-2.021943,7.992235
336,-10.000000,-2.007801,8.006287
337,-10.000000,-1.993751,8.020249
338,-10.000000,-1.979790,8.034122
339,-10.000000,-1.965918,8.047906
340,-10.000000,-1.952136,8.061602
341,-10.000000,-1.938441,8.075210
342,-10.000000,-1.924834,8.088731
343,-10.000000,-1.911314,8.102165
344,-10.000000,-1.897882,8.115513
345,-10.000000,-1.884536,8.128775
346,-10.000000,-1.871275,8.141951
347,-10.000000,-1.858100,8.155043
348,-10.000000,-1.845010,8.168050
349,-10.000000,-1.832005,8.180973
350,-10.000000,-1.819083,8.193813
351,-10.000000,-1.806245,8.206569
352,-10.000000,-1.793491,8.219243
353,-10.000000,-1.780819,8.231834
354,-10.000000,-1.768228,8.244344
355,-10.000000,-1.755720,8.256773
356,-10.000000,-1.743293,8.269121
357,-10.000000,-1.730947,8.281388
